scenario,run,total_treatmentfailures,year
cycling_asaq_al_dhappq_2y,8,45275924,2031
cycling_asaq_al_dhappq_2y,9,43455944,2031
cycling_asaq_al_dhappq_2y,10,44326844,2031
cycling_asaq_al_dhappq_2y,11,43333792,2031
cycling_asaq_al_dhappq_2y,12,46531540,2031
cycling_asaq_al_dhappq_2y,13,44133316,2031
cycling_asaq_al_dhappq_2y,14,43680796,2031
cycling_asaq_al_dhappq_2y,15,45594828,2031
cycling_asaq_al_dhappq_2y,16,46700696,2031
cycling_asaq_al_dhappq_2y,17,46935476,2031
cycling_asaq_al_dhappq_2y,18,44035932,2031
cycling_asaq_al_dhappq_2y,19,46558096,2031
cycling_asaq_al_dhappq_2y,20,43913852,2031
cycling_asaq_al_dhappq_2y,21,42697476,2031
cycling_asaq_al_dhappq_2y,22,44679052,2031
cycling_asaq_al_dhappq_2y,23,44939488,2031
cycling_asaq_al_dhappq_2y,24,43547812,2031
cycling_asaq_al_dhappq_2y,25,45998056,2031
cycling_asaq_al_dhappq_2y,26,44164160,2031
cycling_asaq_al_dhappq_2y,27,45405204,2031
cycling_asaq_al_dhappq_2y,28,45745764,2031
cycling_asaq_al_dhappq_2y,29,45349936,2031
cycling_asaq_al_dhappq_2y,30,45226088,2031
cycling_asaq_al_dhappq_2y,31,46216776,2031
cycling_asaq_dhappq_1y,0,39719684,2031
cycling_asaq_dhappq_1y,1,38175904,2031
cycling_asaq_dhappq_1y,2,39462144,2031
cycling_asaq_dhappq_1y,3,38473068,2031
cycling_asaq_dhappq_1y,4,39201068,2031
cycling_asaq_dhappq_1y,5,38244776,2031
cycling_asaq_dhappq_1y,6,39851660,2031
cycling_asaq_dhappq_1y,7,40273820,2031
cycling_asaq_dhappq_1y,8,40118624,2031
cycling_asaq_dhappq_1y,9,38651612,2031
cycling_asaq_dhappq_1y,10,38817244,2031
cycling_asaq_dhappq_1y,11,39303568,2031
cycling_asaq_dhappq_1y,12,38409044,2031
cycling_asaq_dhappq_1y,13,39272592,2031
cycling_asaq_dhappq_1y,14,38211740,2031
cycling_asaq_dhappq_1y,15,39062140,2031
cycling_asaq_dhappq_1y,16,38836204,2031
cycling_asaq_dhappq_1y,17,39941396,2031
cycling_asaq_dhappq_1y,18,41166812,2031
cycling_asaq_dhappq_1y,19,40558608,2031
cycling_asaq_dhappq_1y,20,39550928,2031
cycling_asaq_dhappq_1y,21,38114184,2031
cycling_asaq_dhappq_1y,22,38702996,2031
cycling_asaq_dhappq_1y,23,39015840,2031
cycling_asaq_dhappq_1y,24,39135528,2031
cycling_asaq_dhappq_1y,25,38879444,2031
cycling_asaq_dhappq_1y,26,38307672,2031
cycling_asaq_dhappq_1y,27,39016176,2031
cycling_asaq_dhappq_1y,28,40254436,2031
cycling_asaq_dhappq_1y,29,38845200,2031
cycling_asaq_dhappq_1y,30,38556176,2031
cycling_asaq_dhappq_1y,31,38633812,2031
cycling_asaq_dhappq_2y,0,38368412,2031
cycling_asaq_dhappq_2y,1,36999380,2031
cycling_asaq_dhappq_2y,2,38036248,2031
cycling_asaq_dhappq_2y,3,37404680,2031
cycling_asaq_dhappq_2y,4,38293576,2031
cycling_asaq_dhappq_2y,5,37410168,2031
cycling_asaq_dhappq_2y,6,36901940,2031
cycling_asaq_dhappq_2y,7,37667768,2031
cycling_asaq_dhappq_2y,8,37311080,2031
cycling_asaq_dhappq_2y,9,37092404,2031
cycling_asaq_dhappq_2y,10,38415696,2031
cycling_asaq_dhappq_2y,11,37174672,2031
cycling_asaq_dhappq_2y,12,37271756,2031
cycling_asaq_dhappq_2y,13,36931932,2031
cycling_asaq_dhappq_2y,14,37067692,2031
cycling_asaq_dhappq_2y,15,38117024,2031
cycling_asaq_dhappq_2y,16,38575648,2031
cycling_asaq_dhappq_2y,17,36337136,2031
cycling_asaq_dhappq_2y,18,38066740,2031
cycling_asaq_dhappq_2y,19,38224688,2031
cycling_asaq_dhappq_2y,20,38880460,2031
cycling_asaq_dhappq_2y,21,39110212,2031
cycling_asaq_dhappq_2y,22,38561556,2031
cycling_asaq_dhappq_2y,23,37551636,2031
cycling_asaq_dhappq_2y,24,37309816,2031
cycling_asaq_dhappq_2y,25,36078432,2031
cycling_asaq_dhappq_2y,26,37819964,2031
cycling_asaq_dhappq_2y,27,38176224,2031
cycling_asaq_dhappq_2y,28,37169784,2031
cycling_asaq_dhappq_2y,29,37391176,2031
cycling_asaq_dhappq_2y,30,37270680,2031
cycling_asaq_dhappq_2y,31,37676220,2031
cycling_asaq_dhappq_3y,0,38642388,2031
cycling_asaq_dhappq_3y,1,38823884,2031
cycling_asaq_dhappq_3y,2,38862524,2031
cycling_asaq_dhappq_3y,3,38594044,2031
cycling_asaq_dhappq_3y,4,39613576,2031
cycling_asaq_dhappq_3y,5,38540932,2031
cycling_asaq_dhappq_3y,6,38795608,2031
cycling_asaq_dhappq_3y,7,38545592,2031
cycling_asaq_dhappq_3y,8,37902028,2031
cycling_asaq_dhappq_3y,9,37852892,2031
cycling_asaq_dhappq_3y,10,37566912,2031
